简介,关键词
该数据集内包含2012-2015年月值净初级生产力数据，数据基于中国地面气候资料日值数据集的温度、降水、太阳辐射等气候要素以及蒸散ET、潜在PET、光合有效吸收比例FPAR、NDVI、最大光能利用率等数据通过CASA模型计算得到，计算结果用三江源采样点数据进行验证，相关系数达到0.718。该数据集可直接用于青藏高原草地植被变化的分析，为草地变化动态动态监测提供基础，为青藏高原草地变化治理提供依据。,生物圈;植被;净初级生产力;蒸散发;气候指标;青藏高原;2012-2015
本数据为祁连山地区2018年冰川分布产品。采用经典波段比值法和人工修正的方法提取。原始基础数据为2018年祁连山全境的高分系列影像。参考数据为谷歌影像和天地图影像。产品以shp文件格式存储，包含坐标系、冰川ID、冰川面积等属性。产品为1期，空间分辨率为2米，边界精度在2米（一个像元）左右。该数据直观地反映了祁连山冰川在2018年的分布，可用于冰川物质平衡变化定量估计、冰川变化对流域径流量影响定量估计等研究。,冰冻圈;冰川/冰盖;冰川编目;遥感数据;遥感产品;冰冻圈遥感产品;祁连山
"该数据集包含了2018年9月23日至2018年12月31日兰州大学兰州大学寒旱区科学观测网络瓜州站气象要素梯度观测系统数据。站点位于甘肃酒泉瓜州县柳园镇，下垫面是荒漠。观测点的经纬度是95.673E，41.405N，海拔2014m。二维超声风速/风向传感器和空气温湿度传感器分别架设在2m、4m、8m、16m、32m、48m处，共6层，朝向正北；气压计安装在1.5m采集箱内；翻斗式雨量计安装在塔4m处；红外温度计安装在4m处，朝向正南，探头朝向垂直向下；土壤热通量板（自校正式）（2块）依次埋设在塔南侧植被下5cm和10cm处；土壤温/湿/电导率传感器和土壤水势传感器埋设在塔南侧植被下5cm、10cm、20cm、40cm、60cm、80cm处；光合有效辐射传感器、日照时数传感器以及四分量辐射仪安装在4m处，朝向正南。
观测项目有：风速（WS_2m、WS_4m、WS_8m、WS_16m、WS_32m、WS_48m）(单位：米/秒)、风向（WD_2m、WD_4m、WD_8m、WD_16m、WD_32m、WD_48m）(单位：度)、空气温湿度（TA_2m、TA_4m、TA_8m、TA_16m、TA_32m、TA_48m和RH_2m、RH_4m、RH_8m、RH_16m、RH_32m、RH_48m）(单位：摄氏度、百分比)、气压（Press）(单位：百帕)、降水量（Rain）(单位：毫米)、四分量辐射（DR、UR、DLR_Cor、ULR_Cor、Rn）(单位：瓦/平方米)、地表辐射温度（IRT）(单位：摄氏度)、土壤热通量（Gs_5cm、Gs_10cm）(单位：瓦/平方米)、土壤水分（Ms_5cm、Ms_10cm、Ms_20cm、Ms_40cm、Ms_60cm、Ms_80cm）(单位：百分比)、土壤温度（Ts_5cm、Ts_10cm、Ts_20cm、Ts_40cm、Ts_60cm、Ts_80cm）(单位：摄氏度) 、土壤水势（SWP_5cm、SWP_10cm、SWP_20cm、SWP_40cm、SWP_60cm、SWP_80cm）（单位：千帕）、土壤电导率（EC_5cm、EC_10cm、EC_20cm、EC_40cm、EC_60cm、EC_80cm）（单位：微西门子/厘米）、光合有效辐射（PAR）(单位：微摩尔/平方米秒)、日照时数（Sun_time）（单位：小时）。
观测数据的处理与质量控制：（1）确保每天144个数据（每10min）；该地区土壤水势很低，已超出传感器的测量量程；（2）剔除有重复记录的时刻；（3）删除了明显超出物理意义或超出仪器量程的数据；（4）数据中以红字标示的部分为有疑问的数据；（5）日期和时间的格式统一，并且日期、时间在同一列。如，时间为：2018-6-10 10:30。",生态系统;植被;疏勒河流域;大气圈;自动气象站;气象要素;土壤学
"该数据集包含了2018年1月1日至2018年12月31日兰州大学兰州大学寒旱区科学观测网络敦煌站气象要素梯度观测系统数据。站点位于甘肃敦煌西湖，下垫面是湿地。观测点的经纬度是93.709E，40.348N，海拔993m。二维超声风速/风向传感器和空气温湿度传感器分别架设在4m、8m处，朝向正北；气压计安装在1m采集箱内；翻斗式雨量计安装在塔4m处；红外温度计安装在4m处，朝向正南，探头朝向垂直向下；土壤热通量板（自校正式）（2块）依次埋设在塔南侧植被下5cm和10cm处；土壤温/湿/电导率传感器和土壤水势传感器埋设在塔南侧植被下5cm和20cm处；光合有效辐射传感器、日照时数传感器以及四分量辐射仪安装在4m处，朝向正南。
观测项目有：风速（WS_4m、WS_8m）(单位：米/秒)、风向（WD_4m、WD_8m）(单位：度)、空气温湿度（Ta_4m、Ta_8m和RH_2m、RH_4m、RH_8m）(单位：摄氏度、百分比)、气压（Press）(单位：百帕)、降水量（Rain）(单位：毫米)、四分量辐射（DR、UR、DLR_Cor、ULR_Cor、Rn）(单位：瓦/平方米)、地表辐射温度（IRT）(单位：摄氏度)、土壤热通量（Gs_5cm、Gs_10cm）(单位：瓦/平方米)、土壤水分（Ms_5cm、Ms_20cm）(单位：百分比)、土壤温度（Ts_5cm、Ts_20cm）(单位：摄氏度) 、土壤水势（SWP_5cm，SWP_20cm）（单位：千帕）、土壤电导率（EC_5cm，EC_20cm）（单位：微西门子/厘米）光合有效辐射（PAR）(单位：微摩尔/平方米秒)、日照时数（Sun_time）（单位：小时）。
观测数据的处理与质量控制：（1）确保每天144个数据（每10min）；由于采集器故障，1.23-1.24数据丢失；由于塔体倾斜，3.17-5.24部分数据异常或丢失；由于程序故障，空气湿度采集错误；（2）剔除有重复记录的时刻；（3）删除了明显超出物理意义或超出仪器量程的数据；（4）数据中以红字标示的部分为有疑问的数据；（5）日期和时间的格式统一，并且日期、时间在同一列。如，时间为：2018-6-10 10:30。",生态系统;植被;疏勒河流域;2018年;大气圈;湿度;大气风
"该数据集包含了2018年1月1日至2018年12月31日兰州大学寒旱区科学观测网络大野口站气象要素梯度观测系统数据。站点位于甘肃张掖大野口排露沟，下垫面是林缘草地。观测点的经纬度是100.286E，38.556N，海拔2703m。二维超声风速/风向传感器和空气温湿度传感器分别架设在8m处；气压计安装在1.5m采集箱内；翻斗式雨量计安装在塔2m处；红外温度计安装在2m处，朝向正南，探头朝向垂直向下；土壤热通量板（自校正式）埋设在塔南侧植被下5cm处；土壤温/湿/电导率传感器和土壤水势传感器埋设在塔南侧植被下5cm处；光合有效辐射传感器、日照时数传感器以及四分量辐射仪安装在2m处，朝向正南。
观测项目有：风速（WS_8m）(单位：米/秒)、风向（WD_8m）(单位：度)、空气温湿度（Ta_8m和RH_8m）(单位：摄氏度、百分比)、气压（Press）(单位：百帕)、降水量（Rain）(单位：毫米)、四分量辐射（DR、UR、DLR_Cor、ULR_Cor、Rn）(单位：瓦/平方米)、地表辐射温度（IRT）(单位：摄氏度)、土壤热通量（Gs_5cm）(单位：瓦/平方米)、土壤水分（Ms_5cm）(单位：百分比)、土壤温度（Ts_5cm）(单位：摄氏度) 、土壤水势（SWP_5cm）（单位：千帕）、土壤电导率（EC_5cm）（单位：微西门子/厘米）光合有效辐射（PAR）(单位：微摩尔/平方米秒)、日照时数（Sun_time）（单位：小时）。
观测数据的处理与质量控制：（1）确保每天144个数据（每10min）；2018.8.29-10.18由于电池箱无保温措施，电池低温供电不稳定，部分时间段数据丢失（1.3-1.6；1.8-1.11；1.14-1.20；1.23-1.30；2.9-2.22；2.28-3.23；3.28-5.12）；由于程序故障，空气湿度采集错误；（2）剔除有重复记录的时刻；（3）删除了明显超出物理意义或超出仪器量程的数据；（4）数据中以红字标示的部分为有疑问的数据；（5）日期和时间的格式统一，并且日期、时间在同一列。如，时间为：2018-6-10 10:30。",生态系统;植被;黑河流域;大气圈;自动气象站;气象要素;土壤学
"该数据集包含了2018年9月24日至2018年12月31日的兰州大学寒旱区科学观测网络瓜州站涡动相关仪观测数据。站点位于甘肃酒泉瓜州县柳园镇，下垫面是荒漠。观测点的经纬度是95.673E，41.405N，海拔2014m。涡动相关仪的架高4m，采样频率是10Hz，超声朝向是正北向，超声风速温度仪（CSAT3）与CO2/H2O分析仪（Li7500A）之间的距离是17cm。
涡动相关仪的原始观测数据为10Hz，发布的数据是采用Eddypro软件处理的30分钟数据，其处理的主要步骤包括：野点值剔除，延迟时间校正，坐标旋转（二次坐标旋转），频率响应修正，超声虚温修正和密度（WPL）修正等。同时对各通量值进行质量评价，主要是大气平稳性（Δst）和湍流相似性特征（ITC）的检验。对Eddypro软件输出的30min通量值也进行了筛选：（1）剔除仪器出错时的数据；（2）剔除降水前后1h的数据；（3）剔除10Hz原始数据中每30min内缺失率大于10%的数据。观测数据的平均周期为30分钟，一天48个数据，缺失数据标记为-6999。4月3日-4日涡动系统的Li7500A进行标定，导致数据缺失。
发布的观测数据包括：日期/时间Date/Time，风向Wdir（°），水平风速Wnd（m/s），侧向风速标准差Std_Uy（m/s），超声虚温Tv（℃），水汽密度H2O（g/m3），二氧化碳浓度CO2（mg/m3），摩擦速度Ustar（m/s），奥布霍夫长度L（m），感热通量Hs（W/m2），潜热通量LE（W/m2），二氧化碳通量Fc（mg/(m2s)），感热通量的质量标识QA_Hs，潜热通量的质量标识QA_LE，二氧化碳通量的质量标识QA_Fc。感热、潜热、二氧化碳通量的质量标识分为九级（质量标识1-3数据质量好，4-6数据质量较好，7-8数据质量较差（较插补数据好）；9数据质量差）。数据时间的含义，如0:30代表0:00-0:30的平均；数据以*.xls格式存储。
观测数据处理请参考Liu et al. (2011)。",生态系统;植被;疏勒河流域;2018年;大气圈;大气风;风速
本数据集为祁连山重点区域2018年数字高程模型（DEM）数据集，空间分辨率5m。本数据集基于高分辨率立体测绘卫星资源三号数据，通过空间分辨率为2.1m（正视）和3.5m（后视）的三线阵立体CCD测绘数据，并结合高精度地形图等基础资料，利用前后视立体相对及平差模型提取祁连山重点区域DEM数据，最后通过GIS软件的Mosaic工具拼接成的5m×5m的祁连山重点区域DEM数据集。该数据能够应用于祁连山重点区域开展三维空间数据处理、水文分析、地形分析、灾害监测、人类活动监测等。,基础地理;地形地貌;DEM;祁连山;2018年;基础地理;地形地貌
本数据集为祁连山地区数据高程模型数据集，空间分辨率为30m。本数据集基于先进星载热发射和反射辐射仪的全球数字高程模型（ASTER-GDEM）数据，该数据集垂直精度20m，水平精度30m。通过对数据下载、预处理、拼接，生成祁连山地区30m×30m数字高程模型数据集，通过本数据集可以提取大量的地表形态信息，是祁连山地区地形分析、地物识别的重要基础数据，服务于祁连山地区生态环境监测、生态环境保护与治理工程实施、水文水资源分析与评价等工作。,基础地理;地形地貌;DEM;等高线;祁连山;2018年;基础地理
"该数据集包含了2018年10月18日至2018年12月31日兰州大学兰州大学寒旱区科学观测网络寺大隆站气象要素梯度观测系统数据。站点位于甘肃张掖市肃南县康乐乡，下垫面是森林。观测点的经纬度是99.926E，38.428N，海拔3146m。二维超声风速/风向传感器和空气温湿度传感器分别架设在0.5m、3m、13m、24m、48m处，共5层；气压计安装在1.5m采集箱内；翻斗式雨量计安装在塔24m处；两个红外温度计分别安装在4m（冠层下）、24m（冠层下）处，探头朝向垂直向下；土壤热通量板（自校正式）（2块）依次埋设在植被下5cm和10cm处；土壤温/湿/电导率传感器和土壤水势传感器埋设在塔南侧植被下5cm、10cm、20cm、40cm、60cm处；光合有效辐射传感器分别安装在4m（冠层下）、24m（冠层下）处；日照时数传感器以及四分量辐射仪安装在24m处。
观测项目有：风速（WS_0.5m、WS_3m、WS_13m、WS_24m、WS_48m）(单位：米/秒)、风向（WD_0.5m、WD_3m、WD_13m、WD_24m、WD_48m）(单位：度)、空气温湿度（TA_0.5m、TA_3m、TA_13m、TA_24m、TA_48m和RH_0.5m、RH_3m、RH_13m、RH_24m、RH_48m）(单位：摄氏度、百分比)、气压（Press）(单位：百帕)、降水量（Rain）(单位：毫米)、四分量辐射（DR、UR、DLR_Cor、ULR_Cor、Rn）(单位：瓦/平方米)、地表辐射温度（IRT_A、IRT_B）(单位：摄氏度)、土壤热通量（Gs_5cm、Gs_10cm）(单位：瓦/平方米)、土壤水分（Ms_5cm、Ms_10cm、Ms_20cm、Ms_40cm、Ms_60cm (单位：百分比)、土壤温度（Ts_5cm、Ts_10cm、Ts_20cm、Ts_40cm、Ts_60cm）(单位：摄氏度) 、土壤水势（SWP_5cm、SWP_10cm、SWP_20cm、SWP_40cm、SWP_60cm）（单位：千帕）、土壤电导率（EC_5cm、EC_10cm、EC_20cm、EC_40cm、EC_60cm）（单位：微西门子/厘米）、光合有效辐射（PAR_A、PAR-B）(单位：微摩尔/平方米秒)、日照时数（Sun_time）（单位：小时）。
观测数据的处理与质量控制：（1）确保每天144个数据（每10min）；该地区土壤水势很低，已超出传感器的测量量程；（2）剔除有重复记录的时刻；（3）删除了明显超出物理意义或超出仪器量程的数据；（4）数据中以红字标示的部分为有疑问的数据；（5）日期和时间的格式统一，并且日期、时间在同一列。如，时间为：2018-6-10 10:30。",生物圈;生态系统;植被;黑河流域;大气圈;自动气象站;气象要素
"该数据集包含了2018年1月1日至2018年12月31日兰州大学兰州大学寒旱区科学观测网络西营河站气象要素梯度观测系统数据。站点位于青海海北门源县仙米乡讨拉村，下垫面是高寒草甸。观测点的经纬度是101.855E，37.561N，海拔3616m。二维超声风速/风向传感器和空气温湿度传感器分别架设在2m、4m、8m处，共3层，朝向正北；气压计安装在1.5m采集箱内；翻斗式雨量计安装在塔4m处；红外温度计安装在4m处，朝向正南，探头朝向垂直向下；土壤热通量板（自校正式）（2块）依次埋设在塔南侧植被下5cm和10cm处；土壤温/湿/电导率传感器和土壤水势传感器埋设在塔南侧植被下20cm和40cm处；光合有效辐射传感器、日照时数传感器以及四分量辐射仪安装在4m处，朝向正南。
观测项目有：风速（WS_2m、WS_4m、WS_8m）(单位：米/秒)、风向（WD_2m、WD_4m、WD_8m）(单位：度)、空气温湿度（Ta_2m、Ta_4m、Ta_8m和RH_2m、RH_4m、RH_8m）(单位：摄氏度、百分比)、气压（Press）(单位：百帕)、降水量（Rain）(单位：毫米)、四分量辐射（DR、UR、DLR_Cor、ULR_Cor、Rn）(单位：瓦/平方米)、地表辐射温度（IRT）(单位：摄氏度)、土壤热通量（Gs_5cm、Gs_10cm）(单位：瓦/平方米)、土壤水分（Ms_20cm、Ms_40cm）(单位：百分比)、土壤温度（Ts_20cm、Ts_40cm）(单位：摄氏度) 、土壤水势（SWP_20cm，SWP_40cm）（单位：千帕）、土壤电导率（EC_20cm、EC_40cm）（单位：微西门子/厘米）、光合有效辐射（PAR）(单位：微摩尔/平方米秒)、日照时数（Sun_time）（单位：小时）。
观测数据的处理与质量控制：（1）确保每天144个数据（每10min）；2018.8.29-10.18由于电池箱进水导致的供电不稳定，气象数据丢失严重未入库；2018.10.18日起2m超声风速/风向传感器故障，该位置风速数据错误；雨量筒程序错误，全年数据无效；由于程序故障，2018.1.1-3.2空气湿度采集错误；（2）剔除有重复记录的时刻；（3）删除了明显超出物理意义或超出仪器量程的数据；（4）数据中以红字标示的部分为有疑问的数据；（5）日期和时间的格式统一，并且日期、时间在同一列。如，时间为：2018-6-10 10:30。",生物圈;生态系统;植被;石羊河流域;2018;大气圈;自动气象站
"该数据集包含了2018年1月1日至2018年12月31日兰州大学寒旱区科学观测网络连城站气象要素梯度观测系统数据。站点位于甘肃永登连城吐鲁沟国家森林公园吐鲁坪，下垫面是森林。观测点的经纬度是102.737E，36.692N，海拔2903m。二维超声风速/风向传感器和空气温湿度传感器分别架设在4m、8m处，共2层，朝向正北；气压计安装在1.5m采集箱内；翻斗式雨量计安装在塔2m处；红外温度计安装在2m处，朝向正南，探头朝向垂直向下；土壤热通量板（自校正式）（2块）依次埋设在塔南侧植被下5cm和10cm处；土壤温/湿/电导率传感器和土壤水势传感器埋设在塔南侧植被下5cm和10cm处；光合有效辐射传感器、日照时数传感器以及四分量辐射仪安装在4m处，朝向正南。
观测项目有：风速（WS_2m、WS_4m、WS_8m）(单位：米/秒)、风向（WD_2m、WD_4m、WD_8m）(单位：度)、空气温湿度（Ta_4m、Ta_8m和RH_4m、RH_8m）(单位：摄氏度、百分比)、气压（Press）(单位：百帕)、降水量（Rain）(单位：毫米)、四分量辐射（DR、UR、DLR_Cor、ULR_Cor、Rn）(单位：瓦/平方米)、地表辐射温度（IRT）(单位：摄氏度)、土壤热通量（Gs_5cm、Gs_10cm）(单位：瓦/平方米)、土壤水分（Ms_5cm、Ms_10cm）(单位：百分比)、土壤温度（Ts_5cm、Ts_10cm）(单位：摄氏度) 、土壤水势（SWP_5cm，SWP_10cm）（单位：千帕）、土壤电导率（EC_5cm、EC_10cm）（单位：微西门子/厘米）、光合有效辐射（PAR）(单位：微摩尔/平方米秒)、日照时数（Sun_time）（单位：小时）。
观测数据的处理与质量控制：（1）确保每天144个数据（每10min）；2018.5.30-7.6由于供电故障数据丢失；2018.1.1-5.30土壤热通量（5cm）传感器因鼠害断线，无有效数值；由于程序故障，空气湿度采集错误；（2）剔除有重复记录的时刻；（3）删除了明显超出物理意义或超出仪器量程的数据；（4）数据中以红字标示的部分为有疑问的数据；（5）日期和时间的格式统一，并且日期、时间在同一列。如，时间为：2018-6-10 10:30。",生物圈;生态系统;植被;大通河流域;2018;生物圈;生态系统
"该数据集包含了2018年1月1日至2018年12月31日兰州大学兰州大学寒旱区科学观测网络临泽站气象要素梯度观测系统数据。站点位于甘肃张掖临泽新华镇古寨村，下垫面是农田。观测点的经纬度是100.062E，39.238N，海拔1402m。二维超声风速/风向传感器和空气温湿度传感器分别架设在4m、8m处，共2层，朝向正北；气压计安装在1m采集箱内；翻斗式雨量计安装在塔4m处；红外温度计安装在4m处，朝向正南，探头朝向垂直向下；土壤热通量板（自校正式）（2块）依次埋设在塔南侧植被下5cm和10cm处；土壤温/湿/电导率传感器和土壤水势传感器埋设在塔南侧植被下20cm和40cm处；光合有效辐射传感器、日照时数传感器以及四分量辐射仪安装在4m处，朝向正南。
观测项目有：风速（WS_4m、WS_8m）(单位：米/秒)、风向（WD_4m、WD_8m）(单位：度)、空气温湿度（Ta_4m、Ta_8m和RH_4m、RH_8m）(单位：摄氏度、百分比)、气压（Press）(单位：百帕)、降水量（Rain）(单位：毫米)、四分量辐射（DR、UR、DLR_Cor、ULR_Cor、Rn）(单位：瓦/平方米)、地表辐射温度（IRT）(单位：摄氏度)、土壤热通量（Gs_5cm、Gs_10cm）(单位：瓦/平方米)、土壤水分（Ms_5cm、Ms_10cm）(单位：百分比)、土壤温度（Ts_5cm、Ts_10cm）(单位：摄氏度) 、土壤水势（SWP_5cm，SWP_10cm）（单位：千帕）、土壤电导率（EC_5cm、EC_10cm）（单位：微西门子/厘米）、光合有效辐射（PAR）(单位：微摩尔/平方米秒)、日照时数（Sun_time）（单位：小时）。
观测数据的处理与质量控制：（1）确保每天144个数据（每10min）；雨量筒程序错误，雨量数据无效；由于程序故障，空气湿度采集错误；（2）剔除有重复记录的时刻；（3）删除了明显超出物理意义或超出仪器量程的数据；（4）数据中以红字标示的部分为有疑问的数据；（5）日期和时间的格式统一，并且日期、时间在同一列。如，时间为：2018-6-10 10:30。",生物圈;生态系统;植被;黑河流域;2018年;生物圈;生态系统
"本数据为祁连山地区1980-2015年地表水体（包括液态水、冰川及多年积雪）分布产品。采用经典归一化水体指数法（Normalized Difference Water Index , NDWI）和人工修正的方法提取。原始基础数据为1978-2018年祁连山全境的Landsat系列影像。参考数据为谷歌影像和哨兵2号影像。产品以shp文件格式存储，包含坐标系、水体面积等属性。产品分为8期，时间分辨率为5年，空间分辨率为30米，边界精度在30米（一个像元）左右。该产品直观地反映了祁连山水体在近35年内的分布时序变化，可用于流域水资源定量估计研究。",水文学;地表水;面积;遥感数据;遥感产品;水文遥感产品;祁连山地区
"本数据集包括祁连山地区1985-2015年每5年一期的逐月地表蒸散发产品，1985-1995年产品分辨率为0.05°，2000-2015年产品分辨率为0.01°。采用高斯过程回归（Gaussian Process Regression，GPR）算法，实现对RS-PM (Mu et al., 2011)、SW (Shuttleworth and Wallace., 1985)、PT-JPL (Fisher et al., 2008)、MS-PT (Yao et al., 2013)、SEMI-PM (Wang et al., 2010a)、SIM (Wang et al.2008) 等6种蒸散发产品的集成。参与蒸散发产品生产的驱动数据包括MODIS（NDVI、Albedo、LAI、PAR）、GIMMS AVHRR NDVI等遥感产品，中国区域高时空分辨率地面气象要素驱动数据集（何杰, 阳坤. 中国区域高时空分辨率地面气象要素驱动数据集. 寒区旱区科学数据中心, 2011. doi:10.3972/westdc.002.2014.db）等。",水文学;水文/水循环;蒸散发;遥感数据;遥感产品;水文遥感产品;祁连山地区
"本数据为祁连山地区2018年地表水体（包括液态水、冰川及多年积雪）分布产品。采用经典归一化水体指数法（Normalized Difference Water Index , NDWI）和人工修正的方法提取。原始基础数据为2018年祁连山全境的Landsat影像。参考数据为谷歌影像和哨兵2号影像。产品以shp文件格式存储，包含坐标系、水体面积等属性。产品为1期，时间分辨率为1年，空间分辨率为30米，边界精度在30米（一个像元）左右。该产品直观地反映了祁连山水体在2018年的大致分布，可用于流域水资源定量估计研究。",水文学;地表水;面积;遥感数据;遥感产品;水文遥感产品;祁连山
本数据集包括祁连山重点区域1990年至2015年每5年一期的30m与人类活动有关的耕地和建筑用地分布产品。该产品来源于重点区域30m的土地覆盖分类产品。基于该成果，可以得到1990、1995、2000、2005、2010、2015年的耕地和建筑用地变化情况，了解并直观展示人为活动对祁连山重点区域的土地覆盖影响情况。该产品集只包含了与人为活动有关的耕地和建筑用地两种土地覆盖类别，后续将增加更多类别，如矿区、人造林地、人造草地等。,遥感数据;人文因素/自然资源;祁连山重点区域;1990-2015;土地资源;土地利用;遥感数据
"本数据集包括祁连山地区2018年日值0.05°×0.05°地表土壤水分产品。采用多元统计回归模型，通过对“祁连山地区基于AMSR-E和AMSR2亮温数据的SMAP时间扩展日0.25°×0.25°地表土壤水分数据（SMsmapTE, V1）”进行降尺度，得到0.05°×0.05°地表土壤水分产品。参与多元统计回归的数据包括GLASS Albedo/LAI/FVC，周纪-中国西部1km全天候地表温度数据（V1），以及经/纬度等信息。",遥感数据;遥感产品;地表土壤水分;被动微波;祁连山地区;2018;遥感数据
本数据集包括祁连山地区2002年6月19日至2018年12月30日SMAP时间扩展日0.25°×0.25°地表土壤水分产品。采用随机森林方法，利用AMSR-E和AMSR2 6.925 GHz V/H，10.65 GHz V/H及36.5 GHz V五个通道的亮温数据及相关辅助数据，实现对SMAP L3级地表土壤水分产品的时间扩展。参与训练随机森林模型的辅助数据包括IGBP地表分类数据，GTOPO30 DEM数据以及经/纬度等信息。,遥感数据;遥感产品;祁连山地区;地表土壤水分;被动微波;水文学;2002-2018
本数据集包括祁连山地区1980、1985、1990、1995和2000年SMAP时间扩展月值0.25°×0.25°地表土壤水分产品。采用随机森林方法，利用SMMR，SSM/I和SSMIS 19 GHz V/H及37 GHz V三个通道的亮温数据及相关辅助数据，实现对SMAP L3级地表土壤水分产品的时间扩展。参与训练随机森林模型的辅助数据包括IGBP地表分类数据，GTOPO30 DEM数据，以及经/纬度等信息。,遥感数据;遥感产品;祁连山地区;1980;1985;1990;1995;2000;地表土壤水分;被动微波;土壤学
本数据集包括祁连山区域2018年的30m土地覆盖分类产品。该产品首先利用Landsat-8/OLI构造2015年时间序列数据，针对各类地物随时间变化呈现的NDVI时间序列曲线不同，对不同地物特征进行知识归纳，设定提取规则不同地物信息，得到2015年的土地覆盖分类图。分类系统参考了IGBP分类系统和FROM_LC分类系统，共分为耕地、林地、草地、灌丛、湿地、水体、不透水面、裸地、冰川和积雪共10大类。由Google Earth高清影像和实地调研数据进行精度评价，得出2015年土地覆盖分类产品的总体精度高达92.19%。以2015年的土地覆盖分类产品为底图，按各类别的比例选取大量样本，基于Google Earth Engine平台的Landsat系列数据和强大地数据处理能力，利用深度学习的思想，选取随机森林分类器，对波段信息和NDVI、MNDWI、NDBI等指数进行样本训练，生产出2018年的土地覆盖分类产品。对分类产品进行比较，得出基于Google Earth Engine平台生产的土地覆盖分类产品与基于时间序列方法得到的分类产品具有很好的一致性。总之，祁连山核心区的土地覆盖数据集具有较高的总体精度，且基于Google Earth Engine平台样本训练的方法能够在时间和空间上对现有的分类产品进行扩展，能够在长时间序列上反映更多的土地覆盖类型变化信息。,遥感数据;遥感产品;LUCC数据;祁连山地区;2018年;遥感数据;遥感产品
本数据集包括祁连山区域1990年至2017年每5年一期的30m土地覆盖分类产品。该产品首先利用Landsat-8/OLI构造2015年时间序列数据，针对各类地物随时间变化呈现的NDVI时间序列曲线不同，对不同地物特征进行知识归纳，设定提取规则不同地物信息，得到2015年的土地覆盖分类图。分类系统参考了IGBP分类系统和FROM_LC分类系统，共分为耕地、林地、草地、灌丛、湿地、水体、不透水面、裸地、冰川和积雪共10大类。由Google Earth高清影像和实地调研数据进行精度评价，得出2015年土地覆盖分类产品的总体精度高达92.19%。以2015年的土地覆盖分类产品为底图，按各类别的比例选取大量样本，基于Google Earth Engine平台的Landsat系列数据和强大地数据处理能力，利用深度学习的思想，选取随机森林分类器，对波段信息和NDVI、MNDWI、NDBI等指数进行样本训练，生产出1985-2017年每5年一期的土地覆盖分类产品。对2套2015年的分类产品进行比较，得出基于Google Earth Engine平台生产的土地覆盖分类产品与基于时间序列方法得到的分类产品具有很好的一致性。总之，祁连山核心区的土地覆盖数据集具有较高的总体精度，且基于Google Earth Engine平台样本训练的方法能够在时间和空间上对现有的分类产品进行扩展，每5年一期的频次能够在长时间序列上反映更多的土地覆盖类型变化信息。,遥感数据;遥感产品;LUCC数据;祁连山地区;1985-2017;土壤学;土地利用/覆盖
本数据为祁连山地区1980-2015年冰川分布产品。采用经典波段比值法和人工修正的方法提取。原始基础数据为1978-2018年祁连山全境的Landsat系列影像。参考数据为谷歌影像和天地图影像。产品以shp文件格式存储，包含坐标系、冰川ID、冰川面积等属性。产品分为8期，时间分辨率为5年，空间分辨率为30米，边界精度在30米（一个像元）左右。该数据直观地反映了祁连山冰川在近35年内的分布变化，可用于冰川物质平衡变化定量估计、冰川变化对流域径流量影响定量估计等研究。,遥感数据;遥感产品;冰冻圈遥感产品;祁连山地区;1980-2015;遥感数据;遥感产品
本数据集包括祁连山区域2018年的30m耕地和建筑用地分布产品。该产品基于Landsat-8/OLI数据生产。生产耕地产品时，利用夏季合成的OLI数据，使用归一化植被指数NDVI，并辅助以作物的物候期、作物种植类别等先验知识设定产品生产规则；生产建筑用地产品时，利用夏季合成的Landsat系列数据，使用归一化植被指数NDVI、NDBI、MNDWI等指数，辅助以DEM、灯光数据等设定产品生产规则。由Google Earth高清影像和实地调研数据进行精度评价，得出2018年耕地和建筑用地产品的精度分别为90.05%和90.97%。,遥感数据;遥感产品;人类活动;祁连山;2018年;遥感数据;遥感产品
本数据集包括祁连山区域1985年至2017年每5年一期的30m耕地和建筑用地分布产品。该产品基于Landsat系列数据生产。生产耕地产品时，利用夏季合成的Landsat系列数据，使用归一化植被指数NDVI，并辅助以作物的物候期、作物种植类别等先验知识设定产品生产规则；生产建筑用地产品时，利用夏季合成的Landsat系列数据，使用归一化植被指数NDVI、NDBI、MNDWI等指数，辅助以DEM、灯光数据等设定产品生产规则。以2015年的产品为例，由Google Earth高清影像和实地调研数据进行精度评价，得出2015年耕地和建筑用地产品的精度分别为89.43%和91.89%。,遥感数据;遥感产品;人类活动;祁连山;1985-2017;遥感数据;遥感产品
本数据集包括祁连山地区2018年每日0.01°×0.01°地表温度产品。采用MYD21A1的温度数据（分辨率：0.01°）以及相关辅助数据，实现祁连山地区地表温度月/日合成产品的生产。参与反演的辅助数据包括经/纬度和儒略日信息。MYD21A1的温度数据（分辨率：0.01°）为MODIS官方产品，数据分为白天和夜晚，采用TES算法。下载地址：https://urs.earthdata.nasa.gov。,遥感数据;遥感产品;祁连山地区;MODIS;地表温度;基础地理;区划
